"","",""
"Abronia","sand verbena","SD(Custer, Fall River)"
"Agrostis scabra","rough bentgrass","SD(Beadle, Brookings, Campbell, Corson, Custer, Douglas, Gregory, Hanson, Harding, Hyde, Lawrence, Minnehaha, Pennington, Sanborn, Walworth)"
"Agrostis stolonifera","creeping bentgrass","SD(Brookings, Brown, Butte, Clark, Clay, Codington, Custer, Day, Fall River, Hutchinson, Lawrence, Lincoln, Marshall, Minnehaha, Pennington, Roberts, Stanley, Todd, Union)"
"Alcea","hollyhock","SD(Clay, Union)"
"Alcea rosea","hollyhock","SD(Clay, Union)"
"Alisma","water plantain","SD(Aurora, Beadle, Bennett, Bon Homme, Brookings, Brown, Brule, Butte, Charles Mix, Clay, Codington, Corson, Custer, Day, Dewey, Douglas, Edmunds, Fall River, Faulk, Haakon, Hanson, Harding, Hughes, Hutchinson, Hyde, Jackson, Jerauld, Kingsbury, Lincoln, Lyman, Marshall, McCook, McPherson, Meade, Mellette, Minnehaha, Potter, Roberts, Stanley, Sully, Todd, Tripp, Union, Walworth, Yankton)"
"Alisma gramineum","narrowleaf water plantain","SD(Bennett, Brookings, Brown, Butte, Day, Edmunds, Fall River, Faulk, Jackson, Kingsbury, Marshall, McPherson, Potter, Roberts, Sully)"
"Alisma triviale","northern water plantain","SD(Aurora, Beadle, Bennett, Bon Homme, Brookings, Brown, Brule, Butte, Charles Mix, Clay, Codington, Corson, Custer, Day, Dewey, Douglas, Edmunds, Fall River, Faulk, Haakon, Hanson, Harding, Hughes, Hutchinson, Hyde, Jackson, Jerauld, Kingsbury, Lincoln, Lyman, Marshall, McCook, McPherson, Meade, Mellette, Minnehaha, Potter, Roberts, Stanley, Todd, Tripp, Union, Walworth, Yankton)"
"Allium","onion","SD(Aurora, Beadle, Brookings, Brown, Brule, Butte, Campbell, Charles Mix, Clay, Codington, Corson, Custer, Davison, Day, Deuel, Dewey, Douglas, Fall River, Hand, Hanson, Harding, Hutchinson, Jackson, Jerauld, Kingsbury, Lawrence, Lincoln, Marshall, McCook, Meade, Mellette, Miner, Minnehaha, Pennington, Roberts, Sanborn, Spink, Stanley, Todd, Turner, Union, Walworth)"
"Allium canadense","meadow garlic","SD(Brookings, Clay, Codington, Davison, Day, Hanson, Lincoln, Meade, Minnehaha, Pennington, Roberts, Sanborn, Turner, Union)"
"Allium canadense var. canadense","meadow garlic","SD(Brookings, Clay, Minnehaha)"
"Allium canadense var. fraseri","Fraser meadow garlic","SD(Meade, Pennington)"
"Allium canadense var. lavandulare","meadow garlic","SD(Clay, Codington, Davison, Day, Hanson, Lincoln, Minnehaha, Roberts, Sanborn, Turner, Union)"
"Allium cernuum","nodding onion","SD(Brookings, Custer, Day, Deuel, Fall River, Lawrence, Marshall, Pennington)"
"Allium cernuum var. cernuum","nodding onion","SD(Brookings, Custer, Day, Deuel, Fall River, Lawrence, Marshall, Pennington)"
"Allium geyeri","Geyer's onion","SD(Aurora, Corson, Custer, Fall River, Pennington)"
"Allium geyeri var. geyeri","Geyer's onion","SD(Aurora, Corson, Custer, Fall River, Pennington)"
"Allium perdulce","plains onion","SD(Aurora, Brule, Charles Mix, Douglas, McCook, Stanley)"
"Allium perdulce var. perdulce","plains onion","SD(Aurora, Brule, Charles Mix, Douglas, McCook, Stanley)"
"Allium stellatum","autumn onion","SD(Brookings, Brown, Codington, Day, Deuel, Kingsbury, Lincoln, Marshall, Miner, Minnehaha)"
