"Amphicarpaea bracteata var. bracteata","American hogpeanut","DC(District of Columbia)"
"Anagallis","pimpernel","DC(District of Columbia)"
"Anagallis arvensis","scarlet pimpernel","DC(District of Columbia)"
"Anagallis arvensis ssp. arvensis","scarlet pimpernel","DC(District of Columbia)"
"Anchusa","bugloss","DC(District of Columbia)"
"Anchusa arvensis","small bugloss","DC(District of Columbia)"
"Andropogon","bluestem","DC(District of Columbia)"
"Andropogon gerardii","big bluestem","DC(District of Columbia)"
"Andropogon glomeratus","bushy bluestem","DC(District of Columbia)"
"Andropogon glomeratus var. glomeratus","bushy bluestem","DC(District of Columbia)"
"Andropogon gyrans","Elliott's bluestem","DC(District of Columbia)"
"Andropogon gyrans var. gyrans","Elliott's bluestem","DC(District of Columbia)"
"Andropogon ternarius","splitbeard bluestem","DC(District of Columbia)"
"Andropogon ternarius var. ternarius","splitbeard bluestem","DC(District of Columbia)"
"Andropogon virginicus","broomsedge bluestem","DC(District of Columbia)"
"Andropogon virginicus var. virginicus","broomsedge bluestem","DC(District of Columbia)"
"Anemone","anemone","DC(District of Columbia)"
"Anemone caroliniana","Carolina anemone","DC(District of Columbia)"
"Anemone quinquefolia","wood anemone","DC(District of Columbia)"
"Anemone quinquefolia var. quinquefolia","nightcaps","DC(District of Columbia)"
"Anemone virginiana","tall thimbleweed","DC(District of Columbia)"
"Anemone virginiana var. virginiana","tall thimbleweed","DC(District of Columbia)"
"Angelica","angelica","DC(District of Columbia)"
"Angelica venenosa","hairy angelica","DC(District of Columbia)"
"Anoda","anoda","DC(District of Columbia)"
"Anoda cristata","crested anoda","DC(District of Columbia)"
"Anredera","madieravine","DC(District of Columbia)"
"Anredera cordifolia","heartleaf madeiravine","DC(District of Columbia)"
"Antennaria","pussytoes","DC(District of Columbia)"
"Antennaria howellii","Howell's pussytoes","DC(District of Columbia)"
"Antennaria howellii ssp. neodioica","Howell's pussytoes","DC(District of Columbia)"
"Antennaria neglecta","field pussytoes","DC(District of Columbia)"
"Antennaria parlinii","Parlin's pussytoes","DC(District of Columbia)"
"Antennaria parlinii ssp. fallax","Parlin's pussytoes","DC(District of Columbia)"
"Antennaria parlinii ssp. parlinii","Parlin's pussytoes","DC(District of Columbia)"
"Antennaria plantaginifolia","woman's tobacco","DC(District of Columbia)"
