"","",""
"Ambrosia","ragweed","IA(Adair, Audubon, Cass, Cherokee, Fremont, Guthrie, Harrison, Ida, Lyon, Madison, Monona, O'Brien, Osceola, Plymouth, Pottawattamie, Ringgold, Shelby, Sioux, Story, Union, Washington, Webster, Woodbury)"
"Ambrosia artemisiifolia","annual ragweed","IA(Cass, Cherokee, Fremont, Guthrie, Harrison, Ida, Madison, Monona, O'Brien, Osceola, Pottawattamie, Ringgold, Story, Union, Washington, Woodbury)"
"Ambrosia artemisiifolia var. elatior","annual ragweed","IA(Cass, Cherokee, Fremont, Guthrie, Harrison, Ida, Madison, Monona, O'Brien, Osceola, Pottawattamie, Ringgold, Story, Union, Washington, Woodbury)"
"Ambrosia psilostachya","Cuman ragweed","IA(Adair, Audubon, Cherokee, Fremont, Harrison, Pottawattamie, Sioux, Webster, Woodbury)"
"Ambrosia trifida","great ragweed","IA(Audubon, Cass, Cherokee, Fremont, Guthrie, Harrison, Lyon, O'Brien, Plymouth, Pottawattamie, Ringgold, Shelby, Sioux, Story, Union, Washington, Woodbury)"
"Ambrosia trifida var. trifida","great ragweed","IA(Audubon, Cass, Cherokee, Fremont, Guthrie, Harrison, Lyon, O'Brien, Plymouth, Pottawattamie, Ringgold, Shelby, Sioux, Story, Union, Washington, Woodbury)"
"Amelanchier","serviceberry","IA(Fremont, Guthrie, Lyon, Mills, Pottawattamie, Sioux, Washington, Webster)"
"Amelanchier arborea","common serviceberry","IA(Fremont, Guthrie, Mills, Pottawattamie, Washington, Webster)"
"Amelanchier arborea var. arborea","common serviceberry","IA(Fremont, Guthrie, Mills, Pottawattamie, Washington, Webster)"
"Amelanchier sanguinea","roundleaf serviceberry","IA(Lyon, Sioux)"
"Amelanchier sanguinea var. sanguinea","roundleaf serviceberry","IA(Lyon, Sioux)"
"Ammannia","redstem","IA(Adair, Adams, Fremont, Greene, Guthrie, Lyon, Monona, Pottawattamie, Taylor)"
"Ammannia coccinea","valley redstem","IA(Adair, Adams, Fremont, Greene, Guthrie, Lyon, Monona, Pottawattamie, Taylor)"
"Amorpha","false indigo","IA(Adair, Adams, Audubon, Cass, Cherokee, Crawford, Decatur, Dickinson, Emmet, Fremont, Guthrie, Harrison, Ida, Johnson, Lyon, Madison, Mahaska, Mills, Monona, Montgomery, Osceola, Page, Plymouth, Pottawattamie, Poweshiek, Ringgold, Shelby, Sioux, Story, Taylor, Union, Webster, Winneshiek, Woodbury)"
"Amorpha canescens","leadplant","IA(Adair, Adams, Audubon, Cass, Cherokee, Crawford, Fremont, Harrison, Ida, Lyon, Madison, Mahaska, Mills, Monona, Montgomery, Osceola, Page, Plymouth, Pottawattamie, Poweshiek, Ringgold, Shelby, Sioux, Taylor, Union, Webster, Winneshiek, Woodbury)"
"Amorpha fruticosa","false indigo bush","IA(Adams, Decatur, Dickinson, Fremont, Harrison, Johnson, Lyon, Madison, Mahaska, Mills, Montgomery, Osceola, Pottawattamie, Ringgold, Shelby, Sioux, Story, Winneshiek, Woodbury)"
"Amorpha nana","dwarf false indigo","IA(Decatur, Dickinson, Emmet, Guthrie)"
"Ampelopsis","peppervine","IA(Fremont)"
"Ampelopsis cordata","heartleaf peppervine","IA(Fremont)"
"Amphicarpaea","hogpeanut","IA(Adair, Audubon, Cherokee, Crawford, Guthrie, Harrison, Humboldt, Lyon, Madison, Monona, O'Brien, Page, Plymouth, Pottawattamie, Shelby, Sioux, Webster)"
"Amphicarpaea bracteata","American hogpeanut","IA(Adair, Audubon, Cherokee, Crawford, Guthrie, Harrison, Humboldt, Lyon, Madison, Monona, O'Brien, Page, Plymouth, Pottawattamie, Shelby, Sioux, Webster)"
"Andropogon","bluestem","IA(Adair, Audubon, Boone, Buena Vista, Calhoun, Carroll, Cerro Gordo, Cherokee, Clarke, Clay, Crawford, Dallas, Decatur, Dickinson, Emmet, Franklin, Fremont, Greene, Guthrie, Hamilton, Hancock, Hardin, Harrison, Humboldt, Iowa, Jasper, Jefferson, Kossuth, Louisa, Lucas, Lyon, Madison, Mahaska, Marshall, Monona, Muscatine, O'Brien, Osceola, Page, Palo Alto, Plymouth, Pocahontas, Polk, Pottawattamie, Ringgold, Sac, Shelby, Sioux, Story, Taylor, Union, Warren, Webster, Winnebago, Woodbury, Worth, Wright)"
