"","",""
"Abies","fir","GA(Fannin)"
"Halesia carolina","Carolina silverbell","GA(Baker, Bartow, Bulloch, Carroll, Clarke, Cobb, Dawson, DeKalb, Early, Effingham, Elbert, Fannin, Floyd, Forsyth, Fulton, Gilmer, Gwinnett, Hall, Haralson, Harris, Hart, Jackson, Jenkins, Madison, Morgan, Murray, Oglethorpe, Rabun, Screven, Seminole, Stephens, Sumter, Tattnall, Taylor, Union, Upson, Walton, White, Wilkes, Worth)"
"Halesia diptera","two-wing silverbell","GA(Appling, Baker, Chatham, Crawford, Decatur, Dodge, Early, Grady, Harris, Houston, Jeff Davis, Jenkins, Lee, Montgomery, Sumter, Talbot, Taliaferro, Taylor, Thomas, Upson, Wayne, Worth)"
"Hamamelis","witchhazel","GA(Appling, Atkinson, Bartow, Berrien, Brantley, Bulloch, Candler, Carroll, Charlton, Chatham, Chattooga, Clarke, Cobb, Coffee, Cook, Crisp, Dade, Decatur, Dougherty, Echols, Effingham, Elbert, Evans, Fannin, Floyd, Forsyth, Fulton, Gilmer, Grady, Jasper, Johnson, Lanier, Long, McIntosh, Meriwether, Miller, Murray, Oglethorpe, Pickens, Pierce, Rabun, Screven, Spalding, Stephens, Sumter, Talbot, Tattnall, Taylor, Telfair, Thomas, Toombs, Towns, Union, Upson, Walker, Walton, Washington, Wayne, Wheeler, White, Wilcox, Worth)"
"Hamamelis virginiana","American witchhazel","GA(Appling, Atkinson, Bartow, Berrien, Brantley, Bulloch, Candler, Carroll, Charlton, Chatham, Chattooga, Clarke, Cobb, Coffee, Cook, Crisp, Dade, Decatur, Dougherty, Echols, Effingham, Elbert, Evans, Fannin, Floyd, Forsyth, Fulton, Gilmer, Grady, Jasper, Johnson, Lanier, Long, McIntosh, Meriwether, Miller, Murray, Oglethorpe, Pickens, Pierce, Rabun, Screven, Spalding, Stephens, Sumter, Talbot, Tattnall, Taylor, Telfair, Thomas, Toombs, Towns, Union, Upson, Walker, Walton, Washington, Wayne, Wheeler, White, Wilcox, Worth)"
"Hartwrightia","hartwrightia","GA(Brantley, Charlton, Rabun)"
"Hartwrightia floridana","Florida hartwrightia","GA(Brantley, Charlton, Rabun)"
"Hedeoma","false pennyroyal","GA(Bartow, Butts, Catoosa, Clarke, Columbia, DeKalb, Dodge, Echols, Hall, Hancock, Jones, Lowndes, Meriwether, Murray, Muscogee, Pike, Spalding, Towns, Troup, Union, Walker, Walton, White, Wilkes)"
"Hedeoma hispida","rough false pennyroyal","GA(Butts, Columbia, Dodge, Echols, Hancock, Jones, Lowndes, Muscogee, Pike, Troup, Walker, Walton, Wilkes)"
"Hedeoma pulegioides","American false pennyroyal","GA(Bartow, Catoosa, Clarke, DeKalb, Hall, Meriwether, Murray, Spalding, Towns, Union, White)"
"Hedera","ivy","GA(Coweta, DeKalb, Dougherty, Meriwether)"
"Hedera helix","English ivy","GA(Coweta, DeKalb, Dougherty, Meriwether)"
"Helenium","sneezeweed","GA(Baker, Barrow, Bartow, Ben Hill, Berrien, Brantley, Brooks, Bulloch, Calhoun, Camden, Catoosa, Charlton, Chatham, Chattooga, Cherokee, Clarke, Clayton, Clinch, Cobb, Colquitt, Columbia, Cook, Dodge, Dooly, Dougherty, Douglas, Early, Echols, Elbert, Emanuel, Floyd, Fulton, Glynn, Gordon, Gwinnett, Hall, Harris, Hart, Irwin, Jefferson, Laurens, Lee, Liberty, Lincoln, Long, Lowndes, Lumpkin, Madison, McDuffie, McIntosh, Meriwether, Miller, Morgan, Muscogee, Peach, Putnam, Rabun, Seminole, Spalding, Sumter, Taylor, Thomas, Tift, Toombs, Towns, Treutlen, Turner, Union, Walker, Ware, Wayne, Whitfield, Wilcox, Wilkes, Worth)"
"Helenium ×polyphyllum","sneezeweed","GA(Dodge)"
"Helenium amarum","sneezeweed","GA(Baker, Barrow, Bartow, Berrien, Brantley, Charlton, Chatham, Clarke, Columbia, Cook, Echols, Elbert, Floyd, Fulton, Gwinnett, Hall, Harris, Hart, Irwin, Liberty, Lincoln, Lumpkin, Madison, McIntosh, Morgan, Muscogee, Peach, Putnam, Spalding, Taylor, Tift, Treutlen, Worth)"
"Helenium amarum var. amarum","sneezeweed","GA(Baker, Barrow, Bartow, Berrien, Brantley, Charlton, Chatham, Clarke, Columbia, Cook, Echols, Elbert, Floyd, Fulton, Gwinnett, Hall, Harris, Hart, Irwin, Liberty, Lincoln, Lumpkin, Madison, McIntosh, Morgan, Muscogee, Peach, Putnam, Spalding, Taylor, Tift, Treutlen, Worth)"
"Helenium autumnale","common sneezeweed","GA(Baker, Ben Hill, Berrien, Chatham, Chattooga, Cherokee, Clayton, Cobb, Columbia, Dooly, Douglas, Elbert, Glynn, Gordon, Harris, Hart, Lumpkin, McDuffie, McIntosh, Morgan, Rabun, Towns, Union, Whitfield, Wilkes)"
"Helenium autumnale var. autumnale","common sneezeweed","GA(Baker, Ben Hill, Berrien, Chatham, Chattooga, Cherokee, Clayton, Cobb, Columbia, Dooly, Douglas, Elbert, Glynn, Gordon, Harris, Hart, Lumpkin, McDuffie, McIntosh, Morgan, Rabun, Towns, Union, Whitfield, Wilkes)"
"Helenium brevifolium","shortleaf sneezeweed","GA(Douglas, Meriwether, Taylor)"
"Helenium flexuosum","purplehead sneezeweed","GA(Ben Hill, Calhoun, Catoosa, Chatham, Cherokee, Elbert, Gordon, Hall, Hart, Jefferson, Long, McIntosh, Rabun, Walker)"
"Helenium pinnatifidum","southeastern sneezeweed","GA(Ben Hill, Berrien, Brooks, Bulloch, Calhoun, Camden, Charlton, Chatham, Clinch, Colquitt, Dodge, Dougherty, Early, Emanuel, Glynn, Irwin, Laurens, Lee, Lowndes, McIntosh, Miller, Seminole, Sumter, Thomas, Tift, Toombs, Turner, Ware, Wayne, Wilcox, Worth)"
"Helianthemum","frostweed","GA(Baker, Berrien, Brooks, Bulloch, Burke, Camden, Candler, Charlton, Chatham, Decatur, Dougherty, Echols, Effingham, Fannin, Glynn, Grady, Irwin, Johnson, Liberty, Long, Lowndes, McIntosh, Mitchell, Richmond, Screven, Sumter, Tift, Towns, Worth)"
"Helianthemum bicknellii","hoary frostweed","GA(Towns)"
"Helianthemum canadense","longbranch frostweed","GA(Burke, Fannin)"
"Helianthemum carolinianum","Carolina frostweed","GA(Brooks, Bulloch, Charlton, Chatham, Decatur, Grady, Irwin, Liberty, Long, Lowndes, McIntosh, Screven, Sumter, Tift)"
"Helianthemum corymbosum","pine barren frostweed","GA(Camden, Charlton, Chatham, Glynn, Liberty, Long, McIntosh)"
"Helianthemum georgianum","Georgia frostweed","GA(Baker, Decatur, Dougherty, McIntosh)"
"Helianthemum rosmarinifolium","rosemary frostweed","GA(Baker, Berrien, Bulloch, Candler, Chatham, Decatur, Dougherty, Echols, Effingham, Johnson, McIntosh, Mitchell, Richmond, Screven, Worth)"
"Helianthus","sunflower","GA(Baker, Barrow, Bartow, Ben Hill, Berrien, Bibb, Brooks, Bulloch, Calhoun, Carroll, Catoosa, Charlton, Chatham, Chattooga, Cherokee, Clarke, Cobb, Colquitt, Columbia, Cook, Dawson, DeKalb, Decatur, Dooly, Douglas, Early, Elbert, Emanuel, Evans, Fannin, Fayette, Floyd, Forsyth, Fulton, Gilmer, Glynn, Grady, Greene, Gwinnett, Habersham, Hall, Harris, Hart, Heard, Henry, Houston, Irwin, Jackson, Jones, Lamar, Lanier, Laurens, Lee, Liberty, Lincoln, Long, Lowndes, Lumpkin, Madison, McDuffie, McIntosh, Meriwether, Miller, Monroe, Morgan, Murray, Newton, Oglethorpe, Paulding, Pickens, Pike, Putnam, Rabun, Randolph, Rockdale, Seminole, Spalding, Stephens, Taylor, Terrell, Thomas, Tift, Toombs, Towns, Turner, Twiggs, Union, Upson, Walker, Walton, Warren, Wayne, White, Whitfield, Wilcox, Wilkes, Worth)"
"Helianthus ×glaucus","sunflower","GA(DeKalb)"
"Helianthus angustifolius","swamp sunflower","GA(Barrow, Bartow, Ben Hill, Berrien, Bibb, Brooks, Bulloch, Catoosa, Charlton, Chatham, Clarke, Cobb, Dawson, DeKalb, Decatur, Dooly, Douglas, Emanuel, Evans, Floyd, Grady, Harris, Irwin, Jones, Lanier, Laurens, McDuffie, McIntosh, Morgan, Murray, Putnam, Rabun, Spalding, Taylor, Terrell, Tift, Toombs, Towns, Whitfield, Wilcox)"
"Helianthus annuus","common sunflower","GA(Chatham, Colquitt, Liberty, Miller)"
"Helianthus atrorubens","purpledisk sunflower","GA(Chattooga, Cherokee, Clarke, Cobb, Columbia, Dawson, Elbert, Fannin, Fulton, Gilmer, Gwinnett, Hall, Harris, Hart, Jones, Lincoln, Lumpkin, Morgan, Murray, Pickens, Rabun, Union, Walker)"
"Helianthus debilis","cucumberleaf sunflower","GA(Chatham, Lanier, Seminole, Taylor)"
"Helianthus decapetalus","thinleaf sunflower","GA(Cherokee, Clarke, Hall, Murray, Rabun, Walton, White)"
"Helianthus divaricatus","woodland sunflower","GA(Bartow, Calhoun, Cobb, Columbia, Douglas, Elbert, Harris, Oglethorpe, Randolph, Walker, Whitfield)"
"Helianthus floridanus","Florida sunflower","GA(Brooks, Charlton, Chatham, Colquitt, Cook, Glynn, Irwin, Long, Lowndes, McIntosh, Tift, Wayne)"
"Helianthus grosseserratus","sawtooth sunflower","GA(Lincoln)"
"Helianthus heterophyllus","variableleaf sunflower","GA(Grady)"
"Helianthus hirsutus","hairy sunflower","GA(Bartow, Bibb, Catoosa, Cherokee, Clarke, Douglas, Elbert, Floyd, Hall, Jones, Madison, Morgan, Paulding, Spalding, Walker)"
"Helianthus longifolius","longleaf sunflower","GA(Chattooga, Heard, Lee, Taylor, Walker)"
"Helianthus microcephalus","small woodland sunflower","GA(Bartow, Bibb, Chattooga, Cherokee, Clarke, Cobb, Dawson, DeKalb, Dooly, Elbert, Gilmer, Grady, Hall, Harris, Hart, Houston, Jackson, Lamar, Lumpkin, Morgan, Murray, Newton, Pickens, Rabun, Taylor, Twiggs, Union, Walker, White)"
"Helianthus mollis","ashy sunflower","GA(Bartow, Catoosa, Elbert)"
"Helianthus occidentalis","fewleaf sunflower","GA(Catoosa, White)"
"Helianthus occidentalis ssp. occidentalis","fewleaf sunflower","GA(Catoosa, White)"
"Helianthus pauciflorus","stiff sunflower","GA(Oglethorpe)"
"Helianthus pauciflorus ssp. pauciflorus","stiff sunflower","GA(Oglethorpe)"
"Helianthus porteri","Porter's sunflower","GA(Barrow, Bibb, Carroll, Clarke, Columbia, DeKalb, Douglas, Elbert, Fayette, Greene, Gwinnett, Heard, Henry, Jackson, Meriwether, Monroe, Newton, Oglethorpe, Pike, Rockdale, Walton, Warren)"
"Helianthus radula","rayless sunflower","GA(Baker, Ben Hill, Berrien, Chatham, Cook, Grady, Irwin, Lanier, Lowndes, Thomas, Tift, Turner, Worth)"
"Helianthus resinosus","resindot sunflower","GA(Chattooga, Cherokee, Cobb, Dawson, Early, Elbert, Habersham, Hall, Lincoln, Rabun, Randolph, White)"
"Helianthus smithii","Smith's sunflower","GA(Habersham, Rabun)"
"Helianthus strumosus","paleleaf woodland sunflower","GA(Bartow, Chatham, Clarke, Dawson, Elbert, Hall, Harris, Houston, Lamar, Lowndes, Murray, Rabun, Stephens, Upson, Walton, White)"
"Helianthus tuberosus","Jerusalem artichoke","GA(Bibb, Chatham, Cherokee, Clarke, Forsyth, Fulton, Hall, Lincoln, Tift, Wilkes)"
"Heliopsis","heliopsis","GA(Bartow, Cherokee, DeKalb, Decatur, Fannin, Harris, Lee, Rabun, Walker)"
"Heliopsis helianthoides","smooth oxeye","GA(Bartow, Cherokee, DeKalb, Decatur, Fannin, Harris, Lee, Rabun, Walker)"
"Heliopsis helianthoides var. gracilis","smooth oxeye","GA(Decatur, Lee)"
"Heliotropium","heliotrope","GA(Baker, Bartow, Ben Hill, Bibb, Bulloch, Camden, Catoosa, Charlton, Chatham, Clarke, Colquitt, Crisp, Decatur, Dougherty, Floyd, Fulton, Glynn, Grady, Harris, McIntosh, Morgan, Muscogee, Spalding, Thomas, Toombs, Twiggs, Wayne, Wilkes)"
"Heliotropium amplexicaule","clasping heliotrope","GA(Baker, Bibb, Bulloch, Charlton, Chatham, Clarke, Colquitt, Dougherty, Glynn, Grady, Morgan, Thomas, Toombs, Twiggs)"
"Heliotropium curassavicum","salt heliotrope","GA(Camden, Chatham, McIntosh)"
"Heliotropium curassavicum var. curassavicum","salt heliotrope","GA(Camden, Chatham, McIntosh)"
"Heliotropium indicum","Indian heliotrope","GA(Bartow, Ben Hill, Crisp, Decatur, Floyd, Fulton, Harris, Morgan, Muscogee, Spalding, Twiggs, Wayne, Wilkes)"
"Heliotropium tenellum","pasture heliotrope","GA(Catoosa)"
"Helonias","helonias","GA(Rabun)"
"Helonias bullata","swamppink","GA(Rabun)"
"Hemerocallis","daylily","GA(Chatham, Cherokee, Clarke, Gwinnett, Hall, Harris, Morgan, Walker)"
"Hemerocallis fulva","orange daylily","GA(Chatham, Cherokee, Clarke, Gwinnett, Hall, Harris, Morgan, Walker)"
"Hepatica","hepatica","GA(Banks, Bartow, Burke, Carroll, Catoosa, Chattooga, Clarke, Cobb, Dade, DeKalb, Early, Elbert, Fannin, Floyd, Fulton, Hall, Hancock, Jackson, Meriwether, Morgan, Murray, Oglethorpe, Putnam, Rabun, Randolph, Spalding, Stephens, Walker, Washington, Whitfield)"
"Hepatica nobilis","hepatica","GA(Banks, Bartow, Burke, Carroll, Catoosa, Chattooga, Clarke, Cobb, Dade, DeKalb, Early, Elbert, Fannin, Floyd, Fulton, Hall, Hancock, Jackson, Meriwether, Morgan, Murray, Oglethorpe, Putnam, Rabun, Randolph, Spalding, Stephens, Walker, Washington, Whitfield)"
"Heteranthera","mudplantain","GA(Burke, Morgan, Oglethorpe)"
"Heteranthera reniformis","kidneyleaf mudplantain","GA(Burke, Morgan, Oglethorpe)"
"Heterodermia","shield lichen","GA(Rabun)"
"Heterodermia neglecta","Blue Ridge shield lichen","GA(Rabun)"
"Heteropogon","tanglehead","GA(Brooks, Decatur, Lowndes, Seminole, Stewart, Thomas)"
"Heteropogon melanocarpus","sweet tanglehead","GA(Brooks, Decatur, Lowndes, Seminole, Stewart, Thomas)"
"Heterotheca","false goldenaster","GA(Baker, Bartow, Chatham, Cherokee, Clarke, Clayton, Cobb, Columbia, Cook, Dougherty, Elbert, Glynn, Habersham, Jasper, Jones, Long, Lowndes, McIntosh, Meriwether, Mitchell, Morgan, Oconee, Peach, Terrell, Tift, Walker, Whitfield, Wilkes, Worth)"
"Heterotheca camporum","lemonyellow false goldenaster","GA(Bartow, Cherokee, Cobb, Walker, Whitfield)"
"Heterotheca camporum var. glandulissimum","lemonyellow false goldenaster","GA(Bartow, Cherokee, Cobb, Walker, Whitfield)"
"Heterotheca subaxillaris","camphorweed","GA(Baker, Chatham, Clarke, Clayton, Columbia, Cook, Dougherty, Elbert, Glynn, Habersham, Jasper, Jones, Long, Lowndes, McIntosh, Meriwether, Mitchell, Morgan, Oconee, Peach, Terrell, Tift, Wilkes, Worth)"
"Heuchera","alumroot","GA(Bartow, Burke, Carroll, Chattooga, Cherokee, Clarke, Clay, Columbia, Dade, Dawson, DeKalb, Elbert, Fannin, Floyd, Forsyth, Gordon, Habersham, Hall, Haralson, Harris, Heard, Henry, Jackson, Jasper, Lumpkin, Madison, Morgan, Murray, Oglethorpe, Putnam, Rabun, Stephens, Towns, Union, Upson, Walker, White, Whitfield)"
"Heuchera americana","American alumroot","GA(Bartow, Burke, Chattooga, Clarke, Clay, Columbia, Dade, DeKalb, Elbert, Floyd, Forsyth, Gordon, Hall, Haralson, Harris, Heard, Henry, Jackson, Jasper, Madison, Morgan, Murray, Oglethorpe, Putnam, Upson, Walker, White, Whitfield)"
"Heuchera americana var. americana","American alumroot","GA(Bartow, Burke, Chattooga, Clarke, Clay, Columbia, Dade, DeKalb, Elbert, Floyd, Forsyth, Gordon, Hall, Haralson, Harris, Heard, Henry, Jackson, Jasper, Madison, Morgan, Murray, Oglethorpe, Putnam, Upson, Walker, White, Whitfield)"
"Heuchera parviflora","littleflower alumroot","GA(Bartow, Cherokee, Habersham, Rabun)"
"Heuchera parviflora var. parviflora","littleflower alumroot","GA(Bartow, Cherokee, Habersham, Rabun)"
"Heuchera villosa","hairy alumroot","GA(Carroll, Dawson, Fannin, Floyd, Lumpkin, Murray, Rabun, Stephens, Towns, Union, Walker, White)"
"Heuchera villosa var. villosa","hairy alumroot","GA(Carroll, Dawson, Fannin, Floyd, Lumpkin, Murray, Rabun, Stephens, Towns, Union, Walker, White)"
"Hexalectris","crested coralroot","GA(Clarke, Hancock, Madison, McIntosh, Morgan, Newton, Stephens, Twiggs, Upson)"
"Hexalectris spicata","spiked crested coralroot","GA(Clarke, Hancock, Madison, McIntosh, Morgan, Newton, Stephens, Twiggs, Upson)"
"Hexalectris spicata var. spicata","spiked crested coralroot","GA(Clarke, Hancock, Madison, McIntosh, Morgan, Newton, Stephens, Twiggs, Upson)"
"Hexastylis","heartleaf","GA(Banks, Barrow, Bartow, Bibb, Bryan, Bulloch, Carroll, Charlton, Chatham, Cherokee, Clarke, Clay, Cobb, Columbia, Dade, Dawson, DeKalb, Elbert, Floyd, Fulton, Gilmer, Habersham, Hall, Haralson, Harris, Henry, Jackson, Lumpkin, Madison, Monroe, Morgan, Murray, Oconee, Oglethorpe, Paulding, Pickens, Pike, Putnam, Rabun, Screven, Spalding, Stephens, Talbot, Terrell, Union, Upson, Walker, Webster, White, Whitfield, Wilkes, Worth)"
"Hexastylis arifolia","littlebrownjug","GA(Banks, Barrow, Bartow, Bibb, Bryan, Bulloch, Carroll, Charlton, Chatham, Cherokee, Clarke, Clay, Cobb, Columbia, Dade, Elbert, Floyd, Fulton, Gilmer, Hall, Haralson, Harris, Henry, Jackson, Lumpkin, Madison, Monroe, Morgan, Oglethorpe, Paulding, Pickens, Pike, Putnam, Screven, Spalding, Talbot, Terrell, Union, Upson, Walker, White, Whitfield, Wilkes, Worth)"
"Hexastylis arifolia var. arifolia","littlebrownjug","GA(Banks, Barrow, Bartow, Bibb, Bryan, Bulloch, Carroll, Charlton, Chatham, Cherokee, Clarke, Clay, Cobb, Columbia, Dade, Elbert, Floyd, Fulton, Gilmer, Hall, Haralson, Harris, Henry, Jackson, Lumpkin, Madison, Monroe, Morgan, Oglethorpe, Paulding, Pickens, Pike, Putnam, Screven, Spalding, Talbot, Terrell, Union, Upson, Walker, White, Whitfield, Wilkes, Worth)"
"Hexastylis heterophylla","variableleaf heartleaf","GA(Habersham, Stephens, Union)"
"Hexastylis shuttleworthii","largeflower heartleaf","GA(Carroll, Dade, Dawson, DeKalb, Gilmer, Habersham, Hall, Haralson, Murray, Oconee, Rabun, Walker, Webster)"
"Hexastylis shuttleworthii var. shuttleworthii","largeflower heartleaf","GA(Carroll, Dade, Dawson, DeKalb, Gilmer, Habersham, Hall, Haralson, Murray, Oconee, Rabun, Walker, Webster)"
"Hexastylis virginica","Virginia heartleaf","GA(Bartow, Gilmer, Murray, Stephens)"
"Hibiscus","rosemallow","GA(Baker, Ben Hill, Berrien, Bibb, Brooks, Burke, Camden, Catoosa, Charlton, Chatham, Cherokee, Clarke, Clinch, Colquitt, Cook, Crisp, Dooly, Echols, Elbert, Fulton, Glynn, Greene, Irwin, Jeff Davis, Jefferson, Lee, Liberty, Lowndes, McIntosh, Meriwether, Mitchell, Monroe, Muscogee, Richmond, Screven, Seminole, Taliaferro, Toombs, Upson, Ware, Wayne, Wheeler, Wilcox, Worth)"
"Hibiscus aculeatus","comfortroot","GA(Baker, Ben Hill, Brooks, Charlton, Chatham, Colquitt, Crisp, Dooly, Irwin, Jeff Davis, McIntosh, Toombs, Wayne, Wheeler, Wilcox, Worth)"
"Hibiscus grandiflorus","swamp rosemallow","GA(Chatham, McIntosh)"
"Hibiscus laevis","halberdleaf rosemallow","GA(Ben Hill, Berrien, Bibb, Clarke, Colquitt, Cook, Dooly, Irwin, Screven, Seminole, Upson)"
"Hibiscus moscheutos","crimsoneyed rosemallow","GA(Burke, Camden, Catoosa, Chatham, Cherokee, Clinch, Echols, Elbert, Glynn, Greene, Jefferson, Lee, Liberty, Lowndes, McIntosh, Meriwether, Mitchell, Monroe, Muscogee, Richmond, Taliaferro, Worth)"
"Hibiscus syriacus","rose of Sharon","GA(Clarke, Fulton)"
"Hibiscus trionum","flower of an hour","GA(Clarke, Ware)"
"Hieracium","hawkweed","GA(Baker, Banks, Bartow, Bibb, Bleckley, Brooks, Bulloch, Calhoun, Camden, Carroll, Chatham, Chattooga, Cherokee, Clarke, Clay, Cobb, Columbia, Dade, Dawson, DeKalb, Decatur, Dodge, Echols, Elbert, Fannin, Floyd, Forsyth, Fulton, Gilmer, Grady, Gwinnett, Habersham, Hall, Harris, Hart, Irwin, Jones, Lanier, Lee, Liberty, Lincoln, Madison, McDuffie, McIntosh, Meriwether, Morgan, Murray, Oconee, Oglethorpe, Putnam, Rabun, Randolph, Screven, Spalding, Talbot, Telfair, Thomas, Toombs, Turner, Union, Upson, Walker, Walton, White, Wilcox)"
"Hieracium caespitosum","meadow hawkweed","GA(Rabun)"
"Hieracium gronovii","queendevil","GA(Baker, Bartow, Bleckley, Brooks, Bulloch, Calhoun, Camden, Chatham, Chattooga, Cherokee, Clarke, Clay, Cobb, Columbia, Dade, Decatur, Dodge, Echols, Elbert, Fannin, Forsyth, Fulton, Gilmer, Grady, Habersham, Hall, Harris, Irwin, Jones, Lanier, Lee, Liberty, Lincoln, McDuffie, McIntosh, Morgan, Murray, Oglethorpe, Putnam, Rabun, Thomas, Toombs, Turner, Union, Upson, Walker, White, Wilcox)"
"Hieracium megacephalon","coastal plain hawkweed","GA(Screven, Turner)"
"Hieracium paniculatum","Allegheny hawkweed","GA(Fannin, Habersham, Murray, Rabun, Walker, White)"
"Hieracium pilosella","mouseear hawkweed","GA(Rabun)"
"Hieracium pilosella var. pilosella","mouseear hawkweed","GA(Rabun)"
"Hieracium piloselloides","tall hawkweed","GA(Rabun)"
"Hieracium scabrum","rough hawkweed","GA(Rabun)"
"Hieracium scabrum var. scabrum","rough hawkweed","GA(Rabun)"
"Hieracium scribneri","Scribner's hawkweed","GA(Murray, Walker)"
"Hieracium venosum","rattlesnakeweed","GA(Banks, Bartow, Bibb, Carroll, Cherokee, Clarke, Cobb, Columbia, Dawson, DeKalb, Elbert, Floyd, Forsyth, Fulton, Gilmer, Gwinnett, Habersham, Hall, Harris, Hart, Lincoln, Madison, Meriwether, Morgan, Murray, Oconee, Oglethorpe, Rabun, Randolph, Spalding, Talbot, Telfair, Union, Upson, Walker, Walton, White)"
"Holcus","velvetgrass","GA(Clarke, Fulton, Gilmer, Harris, Morgan, Rabun, Spalding, Union)"
"Holcus lanatus","common velvetgrass","GA(Clarke, Fulton, Gilmer, Harris, Morgan, Rabun, Spalding, Union)"
"Holosteum","holosteum","GA(Clarke, Murray)"
"Holosteum umbellatum","jagged chickweed","GA(Clarke, Murray)"
"Hordeum","barley","GA(Baker, Baldwin, Bartow, Bibb, Clarke, Cook, Elbert, Harris, Irwin, Lowndes, Macon, Meriwether, Mitchell, Morgan, Oglethorpe, Spalding, Wilkes)"
"Hordeum murinum","mouse barley","GA(Clarke)"
"Hordeum murinum ssp. leporinum","hare barley","GA(Clarke)"
"Hordeum pusillum","little barley","GA(Baker, Baldwin, Bartow, Bibb, Clarke, Cook, Elbert, Harris, Irwin, Lowndes, Macon, Meriwether, Mitchell, Morgan, Oglethorpe, Spalding, Wilkes)"
"Hottonia","hottonia","GA(Bartow)"
"Hottonia inflata","American featherfoil","GA(Bartow)"
"Houstonia","bluet","GA(Appling, Atkinson, Baldwin, Barrow, Bartow, Bibb, Brooks, Bulloch, Camden, Carroll, Catoosa, Charlton, Chatham, Chattooga, Cherokee, Clarke, Cobb, Columbia, Coweta, Dade, Dawson, DeKalb, Dooly, Early, Echols, Effingham, Elbert, Fannin, Floyd, Forsyth, Franklin, Fulton, Gilmer, Glynn, Greene, Hall, Hancock, Haralson, Harris, Hart, Heard, Jackson, Jasper, Johnson, Jones, Liberty, Lowndes, Macon, Madison, McIntosh, Meriwether, Morgan, Murray, Oconee, Oglethorpe, Paulding, Pickens, Pike, Polk, Putnam, Rabun, Richmond, Rockdale, Spalding, Stephens, Sumter, Tattnall, Telfair, Terrell, Thomas, Tift, Toombs, Towns, Turner, Union, Upson, Walker, Walton, Whitfield, Wilkes)"
"Houstonia caerulea","azure bluet","GA(Baldwin, Bartow, Bibb, Bulloch, Carroll, Chattooga, Cherokee, Clarke, Cobb, Columbia, Coweta, Dawson, DeKalb, Elbert, Floyd, Fulton, Gilmer, Hall, Haralson, Harris, Jackson, Jasper, Johnson, Madison, Meriwether, Morgan, Murray, Oglethorpe, Paulding, Pike, Rabun, Richmond, Rockdale, Spalding, Stephens, Toombs, Towns, Turner, Upson, Walker)"
"Houstonia canadensis","Canadian summer bluet","GA(Murray)"
"Houstonia longifolia","longleaf summer bluet","GA(Baldwin, Carroll, Catoosa, Clarke, Cobb, Columbia, Dade, Dawson, DeKalb, Elbert, Floyd, Forsyth, Franklin, Greene, Hall, Heard, Jackson, Jasper, Jones, Madison, Meriwether, Morgan, Oconee, Oglethorpe, Pickens, Rabun, Spalding, Stephens, Terrell, Turner, Union, Upson, Walker, Walton)"
"Houstonia procumbens","roundleaf bluet","GA(Atkinson, Brooks, Bulloch, Camden, Charlton, Chatham, Dooly, Echols, Effingham, Glynn, Liberty, Lowndes, Macon, McIntosh, Sumter, Tattnall, Thomas, Tift)"
"Houstonia purpurea","Venus' pride","GA(Bartow, Catoosa, Cherokee, Clarke, Dade, Dawson, Early, Fannin, Floyd, Forsyth, Fulton, Gilmer, Hall, Harris, Jones, Murray, Pickens, Polk, Rabun, Stephens, Union, Upson, Walker, Whitfield, Wilkes)"
"Houstonia pusilla","tiny bluet","GA(Appling, Barrow, Bartow, Clarke, Columbia, DeKalb, Effingham, Elbert, Greene, Hancock, Harris, Hart, Jackson, Madison, Morgan, Oglethorpe, Putnam, Rockdale, Telfair, Terrell, Walton, Whitfield)"
"Houstonia serpyllifolia","thymeleaf bluet","GA(Rabun, Towns)"
"Humulus","hop","GA(Fulton, Stephens)"
"Humulus japonicus","Japanese hop","GA(Fulton)"
"Humulus lupulus","common hop","GA(Stephens)"
"Humulus lupulus var. pubescens","common hop","GA(Stephens)"
"Huperzia","clubmoss","GA(Berrien, Brantley, Brooks, Bulloch, Camden, Candler, Charlton, Clarke, Clinch, Colquitt, Cook, Dawson, DeKalb, Echols, Effingham, Elbert, Emanuel, Forsyth, Gilmer, Glynn, Grady, Habersham, Haralson, Harris, Jackson, Lowndes, Lumpkin, Macon, Peach, Pierce, Rabun, Screven, Stewart, Taylor, Thomas, Tift, Towns, Union, Ware, Washington, Wheeler, White)"
"Huperzia appalachiana","Appalachian clubmoss","GA(Berrien, Brantley, Brooks, Bulloch, Camden, Candler, Charlton, Clarke, Clinch, Colquitt, Cook, Dawson, DeKalb, Echols, Effingham, Elbert, Emanuel, Forsyth, Glynn, Grady, Haralson, Harris, Lowndes, Macon, Peach, Pierce, Rabun, Screven, Stewart, Taylor, Thomas, Tift, Ware, Washington, Wheeler)"
"Huperzia lucidula","shining clubmoss","GA(Forsyth, Gilmer, Habersham, Jackson, Lumpkin, Rabun, Towns, Union, White)"
"Hybanthus","greenviolet","GA(Bartow, Burke, Chatham, Dade, Floyd, Forsyth, Gordon, Habersham, Hall, Hart, Morgan, Murray, Randolph, Stephens, Walker, White)"
"Hybanthus concolor","eastern greenviolet","GA(Bartow, Burke, Dade, Floyd, Forsyth, Gordon, Habersham, Hall, Hart, Morgan, Murray, Randolph, Stephens, Walker, White)"
"Hybanthus parviflorus","violetilla","GA(Chatham)"
