"","",""
"Abies","fir","GA(Fannin)"
"Aeschynomene","jointvetch","GA(Camden, Chatham, Decatur, Echols, Long, Lowndes, McIntosh)"
"Aeschynomene americana","shyleaf","GA(Lowndes)"
"Aeschynomene indica","Indian jointvetch","GA(Chatham, Decatur, Echols, Long, Lowndes, McIntosh)"
"Aeschynomene viscidula","sticky jointvetch","GA(Camden, McIntosh)"
"Aesculus","buckeye","GA(Appling, Baldwin, Banks, Bartow, Bibb, Brantley, Bryan, Bulloch, Burke, Calhoun, Camden, Carroll, Charlton, Chattooga, Cherokee, Clarke, Clay, Cobb, Coffee, Colquitt, Coweta, Crawford, Crisp, Dawson, DeKalb, Decatur, Dougherty, Early, Echols, Effingham, Elbert, Floyd, Forsyth, Fulton, Gilmer, Glascock, Glynn, Gordon, Grady, Greene, Gwinnett, Habersham, Hall, Hancock, Haralson, Harris, Hart, Houston, Jasper, Jeff Davis, Jefferson, Jenkins, Johnson, Laurens, Lee, Liberty, Lincoln, Long, Lowndes, Macon, Madison, McIntosh, Meriwether, Mitchell, Morgan, Murray, Muscogee, Newton, Oglethorpe, Paulding, Pickens, Rabun, Randolph, Richmond, Schley, Screven, Spalding, Stephens, Sumter, Talbot, Tattnall, Taylor, Telfair, Thomas, Toombs, Towns, Twiggs, Union, Upson, Walker, Walton, Washington, Wayne, Wheeler, White, Whitfield, Wilcox, Wilkes)"
"Aesculus ×mutabilis","buckeye","GA(Banks, Bryan, Chattooga, Cobb, DeKalb, Floyd, Forsyth, Fulton, Gordon, Habersham, Hall, Harris, Hart, Jasper, Lowndes, McIntosh, Muscogee, Paulding, Pickens, Richmond, Talbot, Upson, Walton)"
"Aesculus flava","yellow buckeye","GA(Elbert, Gilmer, Gordon, Murray, Oglethorpe, Rabun, Stephens, Towns, Union, Walker, White, Whitfield, Wilkes)"
"Aesculus glabra","Ohio buckeye","GA(Walker)"
"Aesculus glabra var. glabra","Ohio buckeye","GA(Walker)"
"Aesculus parviflora","bottlebrush buckeye","GA(Clay, Early)"
"Aesculus pavia","red buckeye","GA(Appling, Baldwin, Bibb, Brantley, Bryan, Bulloch, Burke, Calhoun, Camden, Carroll, Charlton, Chattooga, Coffee, Colquitt, Coweta, Crawford, Crisp, Decatur, Dougherty, Echols, Effingham, Glynn, Grady, Hancock, Haralson, Harris, Houston, Jeff Davis, Jefferson, Jenkins, Johnson, Laurens, Lee, Liberty, Long, Lowndes, Macon, McIntosh, Mitchell, Murray, Muscogee, Randolph, Schley, Screven, Spalding, Sumter, Tattnall, Taylor, Telfair, Thomas, Toombs, Twiggs, Washington, Wayne, Wheeler, Wilcox)"
"Aesculus pavia var. pavia","red buckeye","GA(Appling, Baldwin, Bibb, Brantley, Bryan, Bulloch, Burke, Calhoun, Camden, Carroll, Charlton, Chattooga, Coffee, Colquitt, Coweta, Crawford, Crisp, Decatur, Dougherty, Echols, Effingham, Glynn, Grady, Hancock, Haralson, Harris, Houston, Jeff Davis, Jefferson, Jenkins, Johnson, Laurens, Lee, Liberty, Long, Lowndes, Macon, McIntosh, Mitchell, Murray, Muscogee, Randolph, Schley, Screven, Spalding, Sumter, Tattnall, Taylor, Telfair, Thomas, Toombs, Twiggs, Washington, Wayne, Wheeler, Wilcox)"
"Aesculus sylvatica","painted buckeye","GA(Baldwin, Bartow, Burke, Cherokee, Clarke, Cobb, Dawson, Elbert, Forsyth, Fulton, Glascock, Gordon, Greene, Gwinnett, Habersham, Hall, Hart, Jasper, Lincoln, Madison, Meriwether, Morgan, Newton, Oglethorpe, Rabun, Upson)"
"Agalinis","false foxglove","GA(Baker, Baldwin, Bartow, Ben Hill, Bibb, Brooks, Bulloch, Burke, Calhoun, Charlton, Chatham, Chattooga, Cherokee, Clarke, Cobb, Columbia, Cook, DeKalb, Dooly, Dougherty, Echols, Effingham, Elbert, Emanuel, Grady, Greene, Haralson, Harris, Henry, Irwin, Jones, Lanier, Laurens, Lee, Liberty, Long, Lowndes, Macon, McIntosh, Meriwether, Miller, Mitchell, Morgan, Murray, Newton, Oconee, Oglethorpe, Peach, Pike, Putnam, Rabun, Richmond, Rockdale, Screven, Taylor, Thomas, Tift, Toombs, Towns, Union, Walker, Walton, White, Whitfield, Wilkes, Worth)"
"Agalinis aphylla","scaleleaf false foxglove","GA(Bulloch, Irwin)"
"Agalinis fasciculata","beach false foxglove","GA(Baker, Bibb, Brooks, Burke, Chatham, Cook, Dooly, Harris, Irwin, Lanier, Lee, Lowndes, Macon, McIntosh, Meriwether, Miller, Mitchell, Oglethorpe, Peach, Taylor, Thomas, Tift, Worth)"
"Agalinis filifolia","Seminole false foxglove","GA(Charlton, McIntosh)"
"Agalinis harperi","coastal plain false foxglove","GA(Calhoun, Irwin, Tift)"
"Agalinis laxa","twoline false foxglove","GA(Echols, Lanier, McIntosh)"
"Agalinis linifolia","flaxleaf false foxglove","GA(Baker, Bulloch, Charlton, Irwin, Lowndes, Toombs)"
"Agalinis obtusifolia","tenlobe false foxglove","GA(Baker, Brooks, Calhoun, Chatham, Echols, Effingham, Grady)"
"Agalinis plukenetii","Chattahoochee false foxglove","GA(Baker, Baldwin, Haralson, Laurens)"
"Agalinis purpurea","purple false foxglove","GA(Bartow, Charlton, Chatham, Clarke, Cobb, Elbert, Emanuel, Greene, Liberty, McIntosh, Morgan, Oconee, Putnam, Rabun, Toombs, Towns, Walker, Whitfield, Wilkes)"
"Agalinis setacea","threadleaf false foxglove","GA(Ben Hill, Chatham, Chattooga, Elbert, Emanuel, Richmond, Screven)"
"Agalinis tenuifolia","slenderleaf false foxglove","GA(Bartow, Cherokee, Clarke, Cobb, Columbia, DeKalb, Dougherty, Elbert, Harris, Henry, Jones, Long, McIntosh, Meriwether, Morgan, Murray, Newton, Oglethorpe, Pike, Rabun, Rockdale, Union, Walker, Walton, White, Worth)"
"Agastache","giant hyssop","GA(Chattooga, Murray, Rabun, Union)"
"Agastache nepetoides","yellow giant hyssop","GA(Chattooga, Murray)"
"Agastache scrophulariifolia","purple giant hyssop","GA(Murray, Rabun, Union)"
"Ageratina","snakeroot","GA(Banks, Bartow, Ben Hill, Camden, Charlton, Chatham, Chattooga, Clarke, Cobb, Columbia, Cook, Dade, Dawson, DeKalb, Decatur, Early, Effingham, Elbert, Emanuel, Fannin, Floyd, Gilmer, Grady, Gwinnett, Hall, Harris, Jackson, Jones, Lee, Liberty, Lincoln, Lowndes, Lumpkin, McIntosh, Morgan, Murray, Oglethorpe, Peach, Pickens, Rabun, Rockdale, Screven, Seminole, Spalding, Stephens, Thomas, Toombs, Towns, Union, Walker, White, Whitfield)"
"Ageratina altissima","white snakeroot","GA(Banks, Bartow, Dawson, DeKalb, Effingham, Elbert, Fannin, Floyd, Gilmer, Hall, Harris, Jackson, Jones, Lincoln, Lumpkin, McIntosh, Morgan, Murray, Oglethorpe, Pickens, Rabun, Stephens, Towns, Union, Walker, White)"
"Ageratina altissima var. altissima","white snakeroot","GA(Banks, Bartow, Dawson, DeKalb, Effingham, Elbert, Fannin, Floyd, Gilmer, Hall, Harris, Jackson, Jones, Lincoln, Lumpkin, McIntosh, Morgan, Murray, Oglethorpe, Pickens, Rabun, Stephens, Towns, Union, Walker, White)"
"Ageratina aromatica","lesser snakeroot","GA(Ben Hill, Charlton, Chatham, Chattooga, Clarke, Cobb, Columbia, Cook, Dade, Dawson, DeKalb, Decatur, Early, Elbert, Emanuel, Floyd, Gilmer, Grady, Gwinnett, Hall, Harris, Jackson, Lee, Lincoln, Lowndes, Morgan, Oglethorpe, Peach, Rabun, Rockdale, Screven, Seminole, Spalding, Thomas, Toombs, Walker, Whitfield)"
"Ageratina aromatica var. aromatica","lesser snakeroot","GA(Ben Hill, Charlton, Chatham, Chattooga, Clarke, Cobb, Columbia, Cook, Dade, Dawson, DeKalb, Decatur, Early, Elbert, Emanuel, Floyd, Gilmer, Grady, Gwinnett, Hall, Harris, Jackson, Lee, Lincoln, Lowndes, Morgan, Oglethorpe, Peach, Rabun, Rockdale, Screven, Seminole, Spalding, Thomas, Toombs, Walker, Whitfield)"
"Ageratina jucunda","hammock snakeroot","GA(Camden, Liberty, McIntosh)"
"Agrimonia","agrimony","GA(Bartow, Ben Hill, Catoosa, Chatham, Cherokee, Clarke, Cobb, Cook, Decatur, Floyd, Gilmer, Grady, Hall, Harris, Miller, Morgan, Oglethorpe, Rabun, Seminole, Spalding, Stephens, Towns, Union, Walker, White)"
"Agrimonia gryposepala","tall hairy agrimony","GA(Union)"
"Agrimonia incisa","incised agrimony","GA(Grady, Miller)"
"Agrimonia microcarpa","smallfruit agrimony","GA(Chatham, Clarke, Cook)"
"Agrimonia parviflora","harvestlice","GA(Catoosa, Cherokee, Cobb, Gilmer, Morgan, Rabun, Stephens, Walker)"
"Agrimonia pubescens","soft agrimony","GA(Bartow, Ben Hill, Clarke, Cobb, Floyd, Harris, Morgan, Seminole, Walker)"
"Agrimonia rostellata","beaked agrimony","GA(Cherokee, Clarke, Decatur, Grady, Hall, Oglethorpe, Towns, Walker, White)"
"Agrimonia striata","roadside agrimony","GA(Clarke, Spalding)"
"Agrostemma","corncockle","GA(Clarke, Cobb, Elbert, Hall, Jasper, Oconee, Seminole, Spalding, Stephens)"
"Agrostemma githago","common corncockle","GA(Clarke, Cobb, Elbert, Hall, Jasper, Oconee, Seminole, Spalding, Stephens)"
"Agrostis","bentgrass","GA(Baldwin, Barrow, Bartow, Bulloch, Butts, Catoosa, Chatham, Cherokee, Clarke, Coffee, Columbia, Cook, Coweta, Dawson, DeKalb, Decatur, Dougherty, Douglas, Elbert, Fannin, Fayette, Floyd, Forsyth, Franklin, Fulton, Gilmer, Grady, Greene, Gwinnett, Habersham, Hall, Hancock, Harris, Heard, Henry, Jackson, Johnson, Lamar, Long, Lowndes, Madison, McIntosh, Meriwether, Morgan, Murray, Muscogee, Oconee, Oglethorpe, Pickens, Putnam, Rabun, Rockdale, Seminole, Spalding, Thomas, Towns, Troup, Union, Upson, Walker, Walton, White, Wilkes, Wilkinson, Worth)"
"Agrostis elliottiana","Elliott's bentgrass","GA(Barrow, Butts, Clarke, Columbia, Coweta, DeKalb, Decatur, Douglas, Fayette, Greene, Hancock, Harris, Heard, Henry, Jackson, Lamar, Meriwether, Muscogee, Oglethorpe, Putnam, Rockdale, Troup, Upson, Walker, Walton, Wilkes)"
"Agrostis gigantea","redtop","GA(Rabun, Spalding, Towns)"
"Agrostis hyemalis","winter bentgrass","GA(Baldwin, Bartow, Bulloch, Chatham, Clarke, Coffee, Columbia, Dawson, DeKalb, Dougherty, Elbert, Fannin, Forsyth, Gilmer, Grady, Hall, Heard, Johnson, Lowndes, Madison, McIntosh, Meriwether, Morgan, Oconee, Oglethorpe, Pickens, Putnam, Rabun, Rockdale, Spalding, Thomas, Union, Walker, Walton, Wilkinson)"
"Agrostis perennans","upland bentgrass","GA(Bartow, Catoosa, Cherokee, Clarke, Cook, Decatur, Elbert, Floyd, Fulton, Gilmer, Harris, Long, Madison, Morgan, Murray, Oglethorpe, Rabun, Seminole, Spalding, Towns, Union, White, Wilkes, Worth)"
"Agrostis stolonifera","creeping bentgrass","GA(Barrow, Bartow, Chatham, Clarke, Franklin, Fulton, Gwinnett, Habersham, Oglethorpe, Rabun, Spalding, Union, Walker)"
"Ailanthus","ailanthus","GA(Chatham, Cherokee, Clarke, Dade, Decatur, Elbert, Fannin, Floyd, Harris, Lowndes, Lumpkin, Macon, Spalding, Tattnall)"
"Ailanthus altissima","tree of heaven","GA(Chatham, Cherokee, Clarke, Dade, Decatur, Elbert, Fannin, Floyd, Harris, Lowndes, Lumpkin, Macon, Spalding, Tattnall)"
"Aira","hairgrass","GA(Baldwin, Clarke, Columbia, Dodge, Elbert, Floyd, Hancock, Harris, Hart, Madison, Morgan, Oglethorpe, Putnam, Warren)"
"Aira caryophyllea","silver hairgrass","GA(Clarke, Dodge, Elbert, Madison, Morgan, Oglethorpe)"
"Aira caryophyllea var. caryophyllea","silver hairgrass","GA(Clarke, Dodge, Elbert, Madison, Morgan, Oglethorpe)"
"Aira elegans","annual silver hairgrass","GA(Baldwin, Clarke, Columbia, Elbert, Floyd, Hancock, Harris, Hart, Morgan, Putnam, Warren)"
"Akebia","chocolate vine","GA(Clay)"
"Akebia quinata","chocolate vine","GA(Clay)"
"Albizia","albizia","GA(Atkinson, Chatham, Clarke, Dade, Elbert, Harris, Lowndes, Morgan, Oglethorpe, Rabun, Richmond, Spalding, Tattnall, Walker, Ware, Wayne)"
"Albizia julibrissin","silktree","GA(Atkinson, Chatham, Clarke, Dade, Elbert, Harris, Lowndes, Morgan, Oglethorpe, Rabun, Richmond, Spalding, Tattnall, Walker, Ware, Wayne)"
"Aletris","colicroot","GA(Appling, Atkinson, Bacon, Baker, Bartow, Berrien, Bibb, Brooks, Bulloch, Calhoun, Camden, Candler, Charlton, Chatham, Coffee, Colquitt, Cook, Coweta, Crisp, Dade, DeKalb, Decatur, Dodge, Dooly, Dougherty, Douglas, Early, Emanuel, Fannin, Glynn, Grady, Harris, Irwin, Jeff Davis, Jenkins, Johnson, Lanier, Laurens, Lee, Liberty, Long, Lowndes, Lumpkin, McIntosh, Meriwether, Miller, Muscogee, Polk, Rabun, Screven, Stephens, Sumter, Tattnall, Taylor, Telfair, Thomas, Tift, Toombs, Turner, Walker, Ware, Wayne, Wilcox, Worth)"
"Aletris aurea","golden colicroot","GA(Bulloch, Candler, Charlton, Chatham, Colquitt, Cook, Crisp, Dooly, Douglas, Early, Emanuel, Glynn, Grady, Irwin, Johnson, Lanier, Laurens, Lee, Liberty, Long, McIntosh, Miller, Muscogee, Thomas, Tift, Toombs, Turner, Ware, Wilcox, Worth)"
"Aletris farinosa","white colicroot","GA(Baker, Bartow, Bibb, Bulloch, Calhoun, Candler, Coweta, Dade, DeKalb, Dodge, Dougherty, Douglas, Emanuel, Fannin, Harris, Irwin, Jenkins, Lumpkin, Meriwether, Polk, Rabun, Screven, Stephens, Sumter, Tattnall, Telfair, Tift, Toombs, Turner, Walker, Wilcox)"
"Aletris lutea","yellow colicroot","GA(Appling, Berrien, Brooks, Chatham, Coffee, Colquitt, Decatur, Glynn, Jeff Davis, Lowndes, Taylor, Thomas, Tift, Wayne)"
"Aletris obovata","southern colicroot","GA(Appling, Atkinson, Bacon, Berrien, Bulloch, Camden, Charlton, Colquitt, Cook, Jeff Davis, Lowndes, McIntosh, Tift, Toombs, Turner, Wilcox, Worth)"
"Alisma","water plantain","GA(Bartow, Catoosa, Chattooga, Cherokee, Clarke, Hall, Oglethorpe, Walker, Whitfield)"
"Alisma subcordatum","American water plantain","GA(Bartow, Catoosa, Chattooga, Cherokee, Clarke, Hall, Oglethorpe, Walker, Whitfield)"
"Allium","onion","GA(Baker, Bulloch, Candler, Catoosa, Cherokee, Clarke, Clay, Clayton, Coffee, Columbia, DeKalb, Dodge, Dougherty, Early, Elbert, Floyd, Fulton, Glascock, Hall, Hancock, Harris, Heard, Jackson, Johnson, Lincoln, Lumpkin, McDuffie, Meriwether, Morgan, Oglethorpe, Putnam, Randolph, Richmond, Rockdale, Spalding, Stephens, Taylor, Thomas, Tift, Towns, Turner, Union, Upson, Walker, Walton, Washington, Wilkes)"
"Allium canadense","meadow garlic","GA(Baker, Bulloch, Cherokee, Clarke, Clay, Coffee, DeKalb, Dougherty, Early, Elbert, Floyd, Fulton, Heard, Jackson, McDuffie, Meriwether, Morgan, Oglethorpe, Thomas, Walton, Wilkes)"
"Allium cernuum","nodding onion","GA(Catoosa, Floyd, Lumpkin, Stephens, Towns, Walker)"
"Allium cernuum var. cernuum","nodding onion","GA(Catoosa, Floyd, Lumpkin, Stephens, Towns, Walker)"
